ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,DatabaseID
Mono,Mono,mono1275,,mnr,,,,,1
NorthernPaiute,Northern Paiute,nort2954,,pao,,,,,2
Pannamint,Timbisha (Panamint),pana1305,,par,,,,,3
ShoshoniGosiute,Gosiute Shoshone,gosi1242,,shh,,,,,4
Comanche,Comanche,coma1245,,com,,,,,5
Kawaiisu,Kawaiisu,kawa1283,,xaw,,,,,6
Chemehuevi,Chemehuevi,chem1251,,ute,,,,,7
SouthernPaiute,Southern Paiute,sout2969,,ute,,,,,8
SouthernUte,Southern Ute,utee1244,,ute,,,,,9
Tubatulabel,Tübatulabal,tuba1278,,tub,,,,,10
Serrano,Serrano,serr1255,,ser,,,,,11
Cahuilla,Cahuilla,cahu1264,,chl,,,,,12
Cupeno,Cupeño,cupe1243,,cup,,,,,13
Luiseno,Luiseño,luis1253,,lui,,,,,14
Gabrielino,Tongva,tong1329,,ser,,,,,15
Hopi,Hopi,hopi1249,,hop,,,,,16
Papago,O'odham,toho1245,,ood,,,,,17
PimaDeOnavas,Pima de Onavas,pima1248,,ood,,,,,18
NorthernTepehuan,Northern Tepehuan,nort2959,,ntp,,,,,19
Opata,Ópata,opat1246,,opt,,,,,20
Eudeve,Eudeve,eude1234,,opt,,,,,21
Guarijio,Guarijío,huar1255,,var,,,,,22
Tarahumara,Tarahumara,cent2131,,tar,,,,,23
Tubar,Tubar,tuba1279,,tbu,,,,,24
Mayo,Mayo,mayo1264,,mfy,,,,,25
Yaqui,Yaqui,yaqu1251,,yaq,,,,,26
Cora,Cora,elna1235,,crn,,,,,27
Huichol,Huichol,huic1243,,hch,,,,,28
ClassicalAztec,Classical Nahuatl,clas1250,,nci,,,,,29
AztecTetelcingo,Tetelcingo Nahuatl,tete1251,,nhg,,,,,30
AztecZacapoaxtla,Zacapoaxtla Nahuatl,high1278,,azz,,,,,31
Pipil,Pipil,pipi1250,,ppl,,,,,32
SoutheasternTepehuan,Southeastern Tepehuan,sout2976,,stp,,,,,33
Kitanemuk,Kitanemuk,kita1252,,ser,,,,,34
Kiowa,Kiowa,kiow1266,,kio,,,,,35
SanJuanPuebloTewa,San Juan Pueblo Tewa,sanj1276,,tew,,,,,36
AztecPochutla,Pochutec,poch1244,,xpo,,,,,41
Coahuilteco,Coahuilteco,coah1252,,xcw,,,,,44
Comecrudo,Comecrudo,come1253,,,,,,,45
Cotaname,Cotaname,coto1248,,xcn,,,,,46
Karankawa,Karankawa,kara1289,,zkk,,,,,47
ProtoKeresan,Proto-Keresan,kere1287,,,,,,,48
Acoma,Acoma,acom1246,,kjq,,,,,49
SantaAna,Santa Ana,sant1426,,,,,,,50
SantaDomingo,Santa Domingo,sant1425,,,,,,,51
Zuni,Zuni,zuni1245,,zun,,,,,52
